scenario,seed,metric_group,metric,scale,proposed,simple,per_agent,proposed_minus_simple,proposed_minus_per_agent,interpretation_class
StateImport,20260844,Internal diagnostic,Continuity.Diagnostic.TaskProgressExactMismatchRate,paired_snapshots=60;internal_representation_only,0.966666666667,0.033333333333,0.0,0.9333333333339999,0.966666666667,Diagnostic only
StateImport,20260815,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.007609299098,0.0,-0.007609299098,0.0,Primary accuracy
StateImport,20260816,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010111034004,0.0,-0.010111034004,0.0,Primary accuracy
StateImport,20260817,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010111034004,0.0,-0.010111034004,0.0,Primary accuracy
StateImport,20260818,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010111034004,0.0,-0.010111034004,0.0,Primary accuracy
StateImport,20260819,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.007609299098,0.0,-0.007609299098,0.0,Primary accuracy
StateImport,20260820,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010114503817,0.0,-0.010114503817,0.0,Primary accuracy
StateImport,20260821,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.007605829285,0.0,-0.007605829285,0.0,Primary accuracy
StateImport,20260822,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010111034004,0.0,-0.010111034004,0.0,Primary accuracy
StateImport,20260823,Macro trajectory error,Trajectory.DamagedWaiting,N=100,0.0,0.010114503817,0.0,-0.010114503817,0.0,Primary accuracy
